0,1,2
14.0,8.0,1
14.0,8.0,1
14.0,8.0,1
29.0,4.0,0
26.0,4.0,0
26.0,4.0,0
31.0,4.0,2
32.0,4.0,2
28.0,4.0,0
24.0,4.0,0
26.0,4.0,0
24.0,4.0,0
26.0,4.0,0
31.0,4.0,2
19.0,6.0,1
18.0,6.0,1
15.0,6.0,1
15.0,6.0,1
16.0,8.0,1
15.0,8.0,1
16.0,8.0,1
14.0,8.0,1
17.0,6.0,1
16.0,6.0,1
15.0,6.0,1
18.0,6.0,1
21.0,6.0,1
20.0,8.0,1
13.0,8.0,1
29.0,4.0,0
23.0,4.0,0
20.0,6.0,1
23.0,4.0,0
24.0,4.0,0
25.0,4.0,0
24.0,4.0,0
18.0,6.0,1
29.0,4.0,0
19.0,6.0,1
23.0,4.0,0
23.0,4.0,0
22.0,4.0,0
25.0,4.0,0
33.0,4.0,2
28.0,4.0,0
25.0,4.0,0
25.0,4.0,0
26.0,4.0,0
27.0,4.0,0
17.5,8.0,1
16.0,8.0,1
15.5,8.0,1
14.5,8.0,1
22.0,6.0,0
22.0,6.0,0
24.0,6.0,0
22.5,6.0,0
29.0,4.0,0
24.5,4.0,0
29.0,4.0,0
33.0,4.0,2
20.0,6.0,1
18.0,6.0,1
18.5,6.0,1
17.5,6.0,1
29.5,4.0,0
32.0,4.0,2
28.0,4.0,0
26.5,4.0,0
20.0,4.0,1
13.0,8.0,1
19.0,4.0,1
19.0,6.0,1
16.5,6.0,1
16.5,8.0,1
13.0,8.0,1
13.0,8.0,1
13.0,8.0,1
31.5,4.0,2
30.0,4.0,0
36.0,4.0,2
25.5,4.0,0
33.5,4.0,2
17.5,8.0,1
17.0,8.0,1
15.5,8.0,1
15.0,8.0,1
17.5,6.0,1
20.5,6.0,1
19.0,6.0,1
18.5,6.0,1
16.0,8.0,1
15.5,8.0,1
15.5,8.0,1
16.0,8.0,1
29.0,4.0,0
24.5,4.0,0
26.0,4.0,0
25.5,4.0,0
30.5,4.0,2
33.5,4.0,2
30.0,4.0,0
30.5,4.0,2
22.0,6.0,0
21.5,4.0,0
21.5,3.0,0
43.1,4.0,2
36.1,4.0,2
32.8,4.0,2
39.4,4.0,2
36.1,4.0,2
19.9,8.0,1
19.4,8.0,1
20.2,8.0,1
19.2,6.0,1
20.5,6.0,1
20.2,6.0,1
25.1,4.0,0
20.5,6.0,1
19.4,6.0,1
20.6,6.0,1
20.8,6.0,1
18.6,6.0,1
18.1,6.0,1
19.2,8.0,1
17.7,6.0,1
18.1,8.0,1
17.5,8.0,1
30.0,4.0,0
27.5,4.0,0
27.2,4.0,0
30.9,4.0,2
21.1,4.0,0
23.2,4.0,0
23.8,4.0,0
23.9,4.0,0
20.3,5.0,1
17.0,6.0,1
21.6,4.0,0
16.2,6.0,1
31.5,4.0,2
29.5,4.0,0
21.5,6.0,0
19.8,6.0,1
22.3,4.0,0
20.2,6.0,1
20.6,6.0,1
17.0,8.0,1
17.6,8.0,1
16.5,8.0,1
18.2,8.0,1
16.9,8.0,1
15.5,8.0,1
19.2,8.0,1
18.5,8.0,1
31.9,4.0,2
34.1,4.0,2
35.7,4.0,2
27.4,4.0,0
25.4,5.0,0
23.0,8.0,0
27.2,4.0,0
23.9,8.0,0
34.2,4.0,2
34.5,4.0,2
31.8,4.0,2
37.3,4.0,2
28.4,4.0,0
28.8,6.0,0
26.8,6.0,0
33.5,4.0,2
41.5,4.0,2
38.1,4.0,2
32.1,4.0,2
37.2,4.0,2
28.0,4.0,0
26.4,4.0,0
24.3,4.0,0
19.1,6.0,1
34.3,4.0,2
29.8,4.0,0
31.3,4.0,2
37.0,4.0,2
32.2,4.0,2
46.6,4.0,2
27.9,4.0,0
40.8,4.0,2
44.3,4.0,2
43.4,4.0,2
36.4,5.0,2
30.0,4.0,0
44.6,4.0,2
33.8,4.0,2
29.8,4.0,0
32.7,6.0,2
23.7,3.0,0
35.0,4.0,2
32.4,4.0,2
27.2,4.0,0
26.6,4.0,0
25.8,4.0,0
23.5,6.0,0
30.0,4.0,0
39.1,4.0,2
39.0,4.0,2
35.1,4.0,2
32.3,4.0,2
37.0,4.0,2
37.7,4.0,2
34.1,4.0,2
34.7,4.0,2
34.4,4.0,2
29.9,4.0,0
33.0,4.0,2
33.7,4.0,2
32.4,4.0,2
32.9,4.0,2
31.6,4.0,2
28.1,4.0,0
30.7,6.0,2
25.4,6.0,0
24.2,6.0,0
22.4,6.0,0
26.6,8.0,0
20.2,6.0,1
17.6,6.0,1
28.0,4.0,0
27.0,4.0,0
34.0,4.0,2
31.0,4.0,2
29.0,4.0,0
27.0,4.0,0
24.0,4.0,0
36.0,4.0,2
37.0,4.0,2
31.0,4.0,2
38.0,4.0,2
36.0,4.0,2
36.0,4.0,2
36.0,4.0,2
34.0,4.0,2
38.0,4.0,2
32.0,4.0,2
38.0,4.0,2
25.0,6.0,0
38.0,6.0,2
26.0,4.0,0
22.0,6.0,0
32.0,4.0,2
36.0,4.0,2
27.0,4.0,0
27.0,4.0,0
44.0,4.0,2
32.0,4.0,2
28.0,4.0,0
31.0,4.0,2
