Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,Cluster,PC1_2d,PC2_2d
dodge coronet custom,15.0,8,318.0,150.0,3777,12.5,73,US,0,131.98078522177943,3.6523986057218263
mercury marquis brougham,12.0,8,429.0,198.0,4952,11.5,73,US,0,252.47044889613628,13.315256853713098
chevrolet caprice classic,13.0,8,400.0,150.0,4464,12.0,73,US,0,209.63796558573594,-22.661151455701983
ford ltd,13.0,8,351.0,158.0,4363,13.0,73,US,0,165.84950763855576,0.6055234193824088
plymouth fury gran sedan,14.0,8,318.0,150.0,4237,14.5,73,US,0,132.00986729362614,3.5496051669722566
chrysler new yorker brougham,13.0,8,440.0,215.0,4735,11.0,73,US,0,268.25668877298904,25.784920166362824
buick electra 225 custom,12.0,8,455.0,225.0,4951,11.0,73,US,0,285.69462544401773,30.419276463424218
amc ambassador brougham,13.0,8,360.0,175.0,3821,11.0,73,US,0,179.82314159247403,13.875609561808108
plymouth valiant,18.0,6,225.0,105.0,3121,16.5,73,US,2,29.398653599842127,-9.193187478894869
chevrolet nova custom,16.0,6,250.0,100.0,3278,18.0,73,US,2,51.53233511736117,-21.9883251184344
amc hornet,18.0,6,232.0,100.0,2945,16.0,73,US,2,34.42594805748264,-16.12643221716725
ford maverick,18.0,6,250.0,88.0,3021,16.5,73,US,2,47.602115683591975,-33.2786252857427
plymouth duster,23.0,6,198.0,95.0,2904,16.0,73,US,2,0.3918313458768426,-10.100661997846942
volkswagen super beetle,26.0,4,97.0,46.0,1950,21.0,73,Europe,1,-111.0477753213703,-24.21098930390304
chevrolet impala,11.0,8,400.0,150.0,4997,14.0,73,US,0,209.72437038394605,-22.71911801123324
ford country,12.0,8,400.0,167.0,4906,12.5,73,US,0,215.1236303170376,-6.628800659649873
plymouth custom suburb,13.0,8,360.0,170.0,4654,13.0,73,US,0,178.19625324131994,9.014921888862064
oldsmobile vista cruiser,12.0,8,350.0,180.0,4499,12.5,73,US,0,172.00238582366052,21.747192079937513
amc gremlin,18.0,6,232.0,100.0,2789,15.0,73,US,2,34.44006838474096,-16.05262205618331
toyota carina,20.0,4,97.0,88.0,2279,19.0,73,Japan,1,-97.24695765691861,15.795358065591302
chevrolet vega,21.0,4,140.0,72.0,2401,19.5,73,US,1,-61.76816666216541,-13.233124580507083
datsun 610,22.0,4,108.0,94.0,2379,16.5,73,Japan,1,-85.00682478451503,17.999066644838624
maxda rx3,18.0,3,70.0,90.0,2124,13.5,73,Japan,1,-121.95980364084704,26.88947846717239
ford pinto,19.0,4,122.0,85.0,2310,18.5,73,US,1,-74.50289913259132,4.988240805192609
mercury capri v6,21.0,6,155.0,107.0,2472,14.0,73,US,1,-36.28737458893551,15.312908892163117
fiat 124 sport coupe,26.0,4,98.0,90.0,2265,15.5,73,Europe,1,-95.95645922094708,17.347518917575613
chevrolet monte carlo s,15.0,8,350.0,145.0,4082,13.0,73,US,0,160.6328236044789,-11.415665107056563
pontiac grand prix,16.0,8,400.0,230.0,4278,9.5,73,US,0,235.07966137099118,52.797970912753634
fiat 128,29.0,4,68.0,49.0,1867,19.5,73,Europe,1,-137.66045692427844,-12.056144077809558
opel manta,24.0,4,116.0,75.0,2158,15.5,73,Europe,1,-83.61777459646433,-2.5059557146581617
audi 100ls,20.0,4,114.0,91.0,2582,14.0,73,Europe,1,-80.14273971106884,13.510763287902881
volvo 144ea,19.0,4,121.0,112.0,2868,15.5,73,Europe,1,-66.77339515906671,30.98267533596741
dodge dart custom,15.0,8,318.0,150.0,3399,11.0,73,US,0,132.0019657126669,3.763113847197733
saab 99le,24.0,4,121.0,110.0,2660,14.0,73,Europe,1,-67.67828737865109,28.984029220960505
toyota mark ii,20.0,6,156.0,122.0,2807,13.5,73,Japan,1,-30.48149403893786,29.211402556267014
oldsmobile omega,11.0,8,350.0,180.0,3664,11.0,73,US,0,172.08088904091136,21.90273420463173
plymouth duster,20.0,6,198.0,95.0,3102,16.5,74,US,2,0.5567393613378038,-10.003086428683986
amc hornet,19.0,6,232.0,100.0,2901,16.0,74,US,2,34.36862533111927,-16.171259100385548
chevrolet nova,15.0,6,250.0,100.0,3336,17.0,74,US,2,51.60377817098285,-21.86968807423215
datsun b210,31.0,4,79.0,67.0,1950,19.0,74,Japan,1,-121.61181023446153,1.311305821817489
ford pinto,26.0,4,122.0,80.0,2451,16.5,74,US,1,-76.47456525925578,0.10900559365415255
toyota corolla 1200,32.0,4,71.0,65.0,1836,21.0,74,Japan,1,-129.90126925473805,1.8131544965670987
chevrolet vega,25.0,4,140.0,75.0,2542,17.0,74,US,1,-61.002968131490626,-10.400066300333563
chevrolet chevelle malibu classic,16.0,6,250.0,100.0,3781,17.0,74,US,2,51.54645544461948,-21.91451495745046
amc matador,16.0,6,258.0,110.0,3632,18.0,74,US,2,62.29406707137764,-15.141713236805122
plymouth satellite sebring,18.0,6,225.0,105.0,3613,16.5,74,US,2,29.398653599842127,-9.193187478894869
ford gran torino,16.0,8,302.0,140.0,4141,14.0,74,US,0,113.57611348977058,-0.7702325802746017
buick century luxus (sw),13.0,8,350.0,150.0,4699,14.5,74,US,0,162.32493626295565,-6.723659231117685
dodge coronet custom (sw),14.0,8,318.0,150.0,4457,13.5,74,US,0,132.02398762088447,3.623415327956195
ford gran torino (sw),14.0,8,302.0,140.0,4638,16.0,74,US,0,113.6625182879807,-0.8281991358058586
amc matador (sw),14.0,8,304.0,150.0,4257,15.5,74,US,0,118.7579829850702,7.98995994156068
audi fox,29.0,4,98.0,83.0,2219,16.5,74,Europe,1,-98.38065450258799,10.540933815567316
volkswagen dasher,26.0,4,79.0,67.0,1963,15.5,74,Europe,1,-121.27577545724057,1.7937758013528173
opel manta,26.0,4,97.0,78.0,2300,14.5,74,Europe,1,-100.72464793571142,6.432407788752834
toyota corona,31.0,4,76.0,52.0,1649,16.5,74,Japan,1,-129.20911621650623,-11.676049771034522
datsun 710,32.0,4,83.0,61.0,2003,19.0,74,Japan,1,-119.80529191641914,-5.6789632927381515
dodge colt,28.0,4,90.0,75.0,2125,14.5,74,US,1,-108.41736399706947,5.7719960795154925
fiat 128,24.0,4,90.0,75.0,2108,15.5,74,Europe,1,-108.20219341887427,5.877493451404793
fiat 124 tc,26.0,4,116.0,75.0,2246,14.0,74,Europe,1,-83.71123955830363,-2.484894239618874
honda civic,24.0,4,120.0,97.0,2489,15.0,74,Japan,1,-72.79444628725952,16.978684299974216
subaru,26.0,4,108.0,93.0,2391,15.5,74,Japan,1,-85.5417249020377,16.950955802753686
fiat x1.9,31.0,4,79.0,67.0,2000,16.0,74,Europe,1,-121.5694492526866,1.532736304769303
plymouth valiant custom,19.0,6,225.0,95.0,3264,16.0,75,US,2,26.151095643832964,-18.627243983577543
chevrolet nova,18.0,6,250.0,105.0,3459,16.0,75,US,2,53.044578015788545,-17.217291211924973
mercury monarch,15.0,6,250.0,72.0,3432,21.0,75,US,2,42.59486976077974,-48.558105883645645
ford maverick,15.0,6,250.0,72.0,3158,19.5,75,US,2,42.61605025166722,-48.44739064216974
pontiac catalina,16.0,8,400.0,170.0,4668,11.5,75,US,0,215.86764835682484,-3.906457620952271
chevrolet bel air,15.0,8,350.0,145.0,4440,14.0,75,US,0,160.61870327722056,-11.489475268040502
plymouth grand fury,16.0,8,318.0,150.0,4498,14.5,75,US,0,131.8952218408994,3.4599514005356387
ford ltd,14.0,8,351.0,148.0,4657,13.5,75,US,0,162.58782935528828,-8.902343246284207
buick century,17.0,6,231.0,110.0,3907,21.0,75,US,2,36.66440997073669,-6.702081084371407
chevroelt chevelle malibu,16.0,6,250.0,105.0,3897,18.5,75,US,2,53.123922650369494,-17.3121628479482
amc matador,15.0,6,258.0,110.0,3730,19.0,75,US,2,62.3372694704827,-15.170696514570752
plymouth fury,18.0,6,225.0,95.0,3785,19.0,75,US,2,26.16605738842139,-18.803847583311047
buick skyhawk,21.0,6,231.0,110.0,3039,15.0,75,US,2,36.51984102883309,-6.438527651341014
chevrolet monza 2+2,20.0,8,262.0,110.0,3221,13.5,75,US,2,65.93981376441381,-16.293425036889563
ford mustang ii,13.0,8,302.0,129.0,3169,12.0,75,US,0,110.25929739077492,-10.856879780803771
toyota corolla,29.0,4,97.0,75.0,2171,16.0,75,Japan,1,-101.87698522367145,3.3593714870350984
ford pinto,23.0,4,140.0,83.0,2639,17.0,75,US,1,-58.330486364143916,-2.7695047723318815
amc gremlin,20.0,6,232.0,100.0,2914,16.0,75,US,2,34.311302604755895,-16.216085983603865
pontiac astro,23.0,4,140.0,78.0,2592,18.5,75,US,1,-59.95031455166885,-7.593287364785956
toyota corona,24.0,4,134.0,96.0,2702,13.5,75,Japan,1,-59.855231354401894,11.63262113568213
volkswagen dasher,25.0,4,90.0,71.0,2223,16.5,75,Europe,1,-109.55255462980594,1.9884025264200105
datsun 710,24.0,4,119.0,97.0,2545,17.0,75,Japan,1,-73.76824151186885,17.15350433054722
ford pinto,18.0,6,171.0,97.0,2984,14.5,75,US,2,-24.190888845266468,0.8253041187156132
volkswagen rabbit,29.0,4,90.0,70.0,1937,14.0,75,Europe,1,-110.06627425644115,1.051006925810986
amc pacer,19.0,6,232.0,90.0,3211,17.0,75,US,2,31.157209610586,-25.67120396332583
audi 100ls,23.0,4,115.0,95.0,2694,15.0,75,Europe,1,-78.10435549001458,16.75048600550567
peugeot 504,23.0,4,120.0,88.0,2957,17.0,75,Europe,1,-75.64293006936023,8.392369629463946
volvo 244dl,22.0,4,121.0,98.0,2945,14.5,75,Europe,1,-71.40745656148346,17.725416264557555
saab 99le,25.0,4,121.0,115.0,2671,13.5,75,Europe,1,-66.12990224474783,33.689174769212336
honda civic cvcc,33.0,4,91.0,53.0,1795,17.5,75,Japan,1,-114.83483390577346,-15.733505516372688
fiat 131,28.0,4,107.0,86.0,2464,15.5,76,Europe,1,-88.84003170014961,10.585448097488518
opel 1900,25.0,4,116.0,81.0,2220,16.9,76,Europe,1,-81.77648854502439,3.001563997919819
capri ii,25.0,4,140.0,92.0,2572,14.9,76,US,1,-55.537913275680744,5.779364031058474
dodge colt,26.0,4,98.0,79.0,2255,17.7,76,US,1,-99.50454887351782,6.816388391258982
renault 12tl,27.0,4,101.0,83.0,2202,15.3,76,Europe,1,-95.41240094687319,9.751838717562011
chevrolet chevelle malibu classic,17.5,8,305.0,140.0,4215,13.0,76,US,0,116.34091343776191,-1.7309838017407766
dodge coronet brougham,16.0,8,318.0,150.0,4190,13.0,76,US,0,131.91640233178688,3.570666642011546
amc matador,15.5,8,304.0,120.0,3962,13.9,76,US,0,109.1027052393136,-20.237588231561492
ford gran torino,14.5,8,351.0,152.0,4215,12.8,76,US,0,163.8479703784974,-5.10263569442207
plymouth valiant,22.0,6,225.0,100.0,3233,15.4,76,US,2,27.58624735773531,-14.00437118566394
chevrolet nova,22.0,6,250.0,105.0,3353,14.5,76,US,2,52.83646760122253,-17.2858835033223
ford maverick,24.0,6,200.0,81.0,3012,17.6,76,US,2,-2.2731883144993814,-24.105054426460185
amc hornet,22.5,6,232.0,90.0,3085,17.6,76,US,2,30.94810787195922,-25.872384151180277
chevrolet chevette,29.0,4,85.0,52.0,2035,22.2,76,US,1,-120.6649654983177,-14.909077095074299
chevrolet woody,24.5,4,98.0,60.0,2164,22.1,76,US,1,-105.55555547113175,-11.350791925959921
vw rabbit,29.0,4,90.0,70.0,1937,14.2,76,Europe,1,-110.06909832189281,1.0362448936141986
honda civic,33.0,4,91.0,53.0,1795,17.4,76,Japan,1,-114.83342187304763,-15.726124500274294
dodge aspen se,20.0,6,225.0,100.0,3651,17.7,76,US,2,27.668416057767928,-14.084480789490383
ford granada ghia,18.0,6,250.0,78.0,3574,21.0,76,US,2,44.341278817654604,-43.03690571212675
pontiac ventura sj,18.5,6,250.0,110.0,3645,16.2,76,US,2,54.61174028379266,-12.541399334752745
amc pacer d/l,17.5,6,258.0,95.0,3193,17.8,76,US,2,57.41496395737182,-29.33339358237031
volkswagen rabbit,29.5,4,97.0,71.0,1825,12.2,76,Europe,1,-103.13090750058154,-0.15301722361762657
datsun b-210,32.0,4,85.0,70.0,1990,17.0,76,Japan,1,-115.00837626776966,2.3072975559086597
toyota corolla,28.0,4,97.0,75.0,2155,16.4,76,Japan,1,-101.82531062821141,3.374674305859831
ford pinto,26.5,4,140.0,72.0,2565,13.6,76,US,1,-62.000131726339895,-13.044192488402544
volvo 245,20.0,4,130.0,102.0,3150,15.7,76,Europe,1,-61.52084621332248,18.594988545728032
plymouth volare premier v8,13.0,8,318.0,150.0,3940,13.2,76,US,0,132.08554644542536,3.6903852594696853
peugeot 504,19.0,4,120.0,88.0,3270,21.9,76,Europe,1,-75.4828287674725,8.210007373515886
toyota mark ii,19.0,6,156.0,108.0,2930,15.5,76,Japan,1,-34.92862551767606,15.912020534778582
mercedes-benz 280s,16.5,6,168.0,120.0,3820,16.7,76,Europe,2,-19.61885378143539,23.377592961500635
cadillac seville,16.5,8,350.0,180.0,4380,12.1,76,US,0,171.75008168592862,21.57499516984869
chevy c10,13.0,8,350.0,145.0,4055,12.0,76,US,0,160.76158938446395,-11.252201179636007
ford f108,13.0,8,302.0,130.0,3870,15.0,76,US,0,110.53666594832748,-10.13569679355995
dodge d100,13.0,8,318.0,150.0,3755,14.0,76,US,0,132.07425018361872,3.631337130682535
honda accord cvcc,31.5,4,98.0,68.0,2045,18.5,77,Japan,1,-103.34814506292545,-3.857955767380838
buick opel isuzu deluxe,30.0,4,111.0,80.0,2155,14.8,77,US,1,-87.08095187938972,3.602019212403323
renault 5 gtl,36.0,4,79.0,58.0,1825,18.6,77,Europe,1,-124.77034158932251,-7.366825761641185
plymouth arrow gs,25.5,4,122.0,96.0,2300,15.5,77,US,1,-71.31611093957586,15.287044719377377
datsun f-10 hatchback,33.5,4,85.0,70.0,1945,16.8,77,Japan,1,-115.09153629186308,2.2548192632779833
chevrolet caprice classic,17.5,8,305.0,145.0,3880,12.5,77,US,0,117.94662129802853,3.018988629729359
oldsmobile cutlass supreme,17.0,8,260.0,110.0,4060,19.0,77,US,2,64.14301100339783,-15.920019567564529
dodge monaco brougham,15.5,8,318.0,145.0,4140,13.7,77,US,0,130.3365317692503,-1.1716543800462238
mercury cougar brougham,15.0,8,302.0,130.0,4295,14.9,77,US,0,110.42343252832652,-10.217969543898171
chevrolet concours,17.5,6,250.0,110.0,3520,16.4,77,US,2,54.66623894470437,-12.511334483731225
buick skylark,20.5,6,231.0,105.0,3425,16.9,77,US,2,34.923026073586506,-11.26942086657951
plymouth volare custom,19.0,6,225.0,100.0,3630,17.7,77,US,2,27.725738784131305,-14.039653906272067
ford granada,18.5,6,250.0,98.0,3525,19.0,77,US,2,50.735448895539434,-24.059429427855367
pontiac grand prix lj,16.0,8,400.0,180.0,4220,11.1,77,US,0,219.07059188100314,5.549201145397638
chevrolet monte carlo landau,15.5,8,350.0,170.0,4165,11.4,77,US,0,168.6199932480979,12.245354463799424
chrysler cordoba,15.5,8,400.0,190.0,4325,12.2,77,US,0,222.28101627747563,14.916558111880802
ford thunderbird,16.0,8,351.0,149.0,4335,14.5,77,US,0,162.7787931146307,-8.123193703509129
volkswagen rabbit custom,29.0,4,97.0,78.0,1940,14.5,77,Europe,1,-100.89661611480152,6.297927139097907
pontiac sunbird coupe,24.5,4,151.0,88.0,2740,16.0,77,US,1,-46.40260215877359,-1.5967114631469503
toyota corolla liftback,26.0,4,97.0,75.0,2265,18.2,77,Japan,1,-101.73608176454965,3.331469782525362
ford mustang ii 2+2,25.5,4,140.0,89.0,2755,15.8,77,US,1,-56.53847155137739,2.862681033976875
chevrolet chevette,30.5,4,98.0,63.0,2051,17.0,77,US,1,-104.86828954231207,-8.41548099366479
dodge colt m/m,33.5,4,98.0,83.0,2075,15.9,77,US,1,-98.6301345748682,10.383498937675288
subaru dl,30.0,4,97.0,67.0,1985,16.4,77,Japan,1,-104.49779239555812,-4.255887222141854
volkswagen dasher,30.5,4,97.0,78.0,2190,14.1,77,Europe,1,-100.97695207344321,6.260210878664018
datsun 810,22.0,6,146.0,97.0,2815,14.5,77,Japan,1,-48.05904400303721,8.707005399364455
bmw 320i,21.5,4,121.0,110.0,2600,12.8,77,Europe,1,-67.51803617003267,29.184668622187004
mazda rx-4,21.5,3,80.0,110.0,2720,13.5,77,Japan,1,-106.31029669564205,42.36045025441214
volkswagen rabbit custom diesel,43.1,4,90.0,48.0,1985,21.5,78,Europe,1,-118.01447701780694,-20.872124679250646
ford fiesta,36.1,4,98.0,66.0,1800,14.4,78,US,1,-104.19339534109287,-5.646764710542182
mazda glc deluxe,32.8,4,78.0,52.0,1985,19.4,78,Japan,1,-127.46213693282405,-12.615668332762667
datsun b210 gx,39.4,4,85.0,70.0,2070,18.6,78,Japan,1,-115.45515696647192,1.8574823625188714
honda civic cvcc,36.1,4,91.0,60.0,1800,16.4,78,Japan,1,-112.75889522222329,-9.192983385897678
oldsmobile cutlass salon brougham,19.9,8,260.0,110.0,3365,15.5,78,US,2,64.02619624234814,-15.791681965453838
dodge diplomat,19.4,8,318.0,140.0,3735,13.2,78,US,0,128.52138560342482,-6.022641495083826
mercury monarch ghia,20.2,8,302.0,139.0,3570,12.8,78,US,0,113.0325728924269,-1.8125467668064044
pontiac phoenix lj,19.2,6,231.0,105.0,3535,19.2,78,US,2,34.96506886516477,-11.380909288658765
chevrolet malibu,20.5,6,200.0,95.0,3155,18.2,78,US,2,2.3951825820023576,-10.795857849047596
ford fairmont (auto),20.2,6,200.0,85.0,2965,15.8,78,US,2,-0.7510272079436204,-20.031400099676997
ford fairmont (man),25.1,4,140.0,88.0,2720,15.4,78,US,1,-56.82962386925621,1.9675223814621403
plymouth volare,20.5,6,225.0,100.0,3430,17.2,78,US,2,27.646814858215407,-14.069989150607563
amc concord,19.4,6,232.0,90.0,3210,17.2,78,US,2,31.131456454588992,-25.703896748809935
buick century special,20.6,6,231.0,105.0,3380,15.8,78,US,2,34.932826160934326,-11.19271237781901
mercury zephyr,20.8,6,200.0,85.0,3070,16.7,78,US,2,-0.7981291382941245,-20.124725374493522
dodge aspen,18.6,6,225.0,110.0,3620,18.7,78,US,2,30.931842940693286,-4.669398612012346
amc concord d/l,18.1,6,258.0,120.0,3410,15.1,78,US,2,65.41193368833864,-5.595665522753813
